"mun_name","uf","indice_diversidade"
"Rianapolis","GO","0.5828983485265523597887"
"Betania do Piaui","PI","0.5828701626327271223416"
"Balbinos","SP","0.582868002019224729695"
"Cotia","SP","0.582828842353752436153"
"Irapuru","SP","0.58281138050957996183816"
"Marau","BA","0.5827601258165979518690"
"Guanambi","BA","0.582708792413650531466"
"Pindoba","AL","0.58256928030166413237"
"EmbuGuacu","SP","0.582544178281784878956"
"Ribeirao das Neves","MG","0.5825299606906711825923"
"Cipo","BA","0.5824934576379319230619"
"Nazario","GO","0.5824233894441642547262"
"Guarapari","ES","0.582305955289431422234"
"Diamantina","MG","0.582248646383219500012"
"Iturama","MG","0.5821556647503955871005"
"Mogi das Cruzes","SP","0.582137492397893014203"
"Sao Goncalo do Rio Abaixo","MG","0.5821313749577168900924"
"Abare","BA","0.5821295684059233053776"
"Benjamin Constant do Sul","RS","0.58209980612375782172"
"Chupinguaia","RO","0.58195092960215225338197"
"Paramirim","BA","0.5818933343621709162990"
"Conceicao das Alagoas","MG","0.581859557606711052560"
"Martins Soares","MG","0.58176288488744725419345"
"Dionisio","MG","0.58165798728446920184477"
"Camaragibe","PE","0.581615600225620985259"
"Rio Espera","MG","0.5816101701154585487702"
"Ipatinga","MG","0.5814704653427296461315"
"Morro Agudo","SP","0.58135942966533747257160"
"Serrana","SP","0.58134171921316229310226"
"Guariba","SP","0.5813403852319454228491"
"Monte Alegre de Minas","MG","0.5813160766110765483967"
"Livramento de Nossa Senhora","BA","0.5811945673383865603279"
"Leandro Ferreira","MG","0.581143626764420461571"
"Piata","BA","0.5811148673270901468360"
"Itumbiara","GO","0.581051424321272286979"
"Centralina","MG","0.58095871423136067241706"
"Pedra Preta","RN","0.58089301618986449735"
"Pontal","SP","0.5808308236148559746156"
"Santa Cruz","RN","0.5807366770594838527662"
"Valenca","BA","0.580712266715706351809"
"Tarabai","SP","0.58065249951684597050208"
"Uniao do Sul","MT","0.5806229686351427715744"
"Cruzeiro da Fortaleza","MG","0.580622081605389370279"
"Divina Pastora","SE","0.58045329057741723119818"
"Nova Lacerda","MT","0.58044451537349765897189"
"Pombal","PB","0.580423535314290495353"
"Mossoro","RN","0.5804074975599120796319"
"Santa Rosa da Serra","MG","0.580302334584492780324"
"GuajaraMirim","RO","0.580169905178019523898"
"Palmares Paulista","SP","0.5801622808666004456516"
"Martins","RN","0.5801608498774987297153"
"Ituiutaba","MG","0.5801199978531773009553"
"Alcobaca","BA","0.580041680453512583673"
"Manhuacu","MG","0.58000749556350753671126"
"Aruja","SP","0.579887202158524136067"
"Novais","SP","0.579810460879378666439"
"Urucania","MG","0.5798072979708081167516"
"Itauba","MT","0.5797136553388041459645"
"Getulina","SP","0.579707509776316891437704"
"Ibiracu","ES","0.5796923218288659280283"
"Pacaembu","SP","0.5796765806922900291348"
"Osasco","SP","0.5796734326874966598260"
"Guaimbe","SP","0.57946871688844605569"
"Capinopolis","MG","0.579456343855916839033"
"SemPeixe","MG","0.579430082562869869335"
"Dias d'avila","BA","0.579412874810224675950"
"Abre Campo","MG","0.57938979166305877396040"
"Jatai","GO","0.579355070764489984295"
