muncod_ibge,pop_total,pop_branca,pop_preta,pop_amarela,pop_parda,pop_indigena
3536703,44827,27628,2853,62,14265,17
3536802,6557,4778,170,24,1577,8
3536901,2787,1967,122,6,688,4
3537008,15525,8800,1336,19,5358,12
3537107,43112,28979,1770,56,12277,28
3537156,2804,1917,75,6,805,1
3537206,11281,6017,688,143,4411,22
3537305,61679,40435,2832,503,17878,31
3537404,24095,10565,1621,1008,10887,14
3537503,8737,5857,436,10,2419,15
3537602,68352,35802,5103,596,26312,538
3537701,5519,2967,256,42,2247,7
3537800,52970,37961,1277,1186,12521,23
3537909,27619,17968,913,831,7897,10
3538006,165428,99855,10656,1106,53685,116
3538105,14542,9992,533,26,3985,6
3538204,15224,11528,553,60,3079,4
3538303,3264,1716,159,14,1375,
3538501,12490,7757,942,16,3764,11
3538600,26029,17193,1257,288,7259,32
3538709,423323,272080,33333,2095,115484,320
3538808,29436,23116,935,119,5246,19
3538907,22431,13653,1524,98,7139,17
3539004,10885,7701,409,20,2753,2
3539103,18370,7588,1819,49,8879,34
3539202,25348,13068,1657,460,10132,30
3539301,73545,50072,4284,223,18899,57
3539400,15108,10506,742,140,3700,20
3539509,33674,17593,2426,41,13596,18
3539608,4389,2338,243,16,1785,5
3539707,3025,1844,159,10,1010,2
3539806,103765,51053,12184,523,39916,79
3539905,5592,3503,357,11,1716,5
3540002,20196,11066,1197,484,7428,21
3540101,3395,2579,103,7,704,2
3540200,37607,15467,3622,35,18452,28
3540259,4127,1989,364,4,1770,
3540309,2387,1397,149,12,829,
3540408,4127,2470,263,13,1381,
3540507,10451,7244,497,25,2682,3
3540606,56497,36432,3942,184,15925,14
3540705,52649,32624,3519,54,16431,21
3540754,20392,11186,1347,29,7816,11
3540804,18496,12828,580,38,5036,14
3540853,2578,1022,283,3,1270,
3540903,17078,9971,898,12,6193,4
3541000,349935,182320,32104,1794,133181,508
3541059,5126,2924,334,10,1852,6
3541109,3804,2342,239,5,1215,3
3541208,14490,8830,791,225,4638,6
3541307,39505,18393,2588,478,18004,41
3541406,225668,133716,14486,5611,71650,201
3541505,35201,19564,1825,725,13075,12
3541604,35131,20641,1708,427,12348,7
3541653,3405,2275,148,17,949,16
3541703,13163,6860,770,28,5502,3
3541802,3265,1290,184,5,1785,1
3541901,9159,5214,637,11,3291,6
3542008,7038,3697,442,75,2815,9
3542107,8965,5816,649,15,2482,2
3542206,28588,16556,1445,265,10301,21
3542305,4494,3009,178,20,1286,1
3542404,20145,11627,1022,336,7150,8
3542503,7662,4601,500,10,2549,2
3542602,59947,31790,3091,2013,22977,75
3542701,6404,3380,466,10,2545,3
3542800,3132,1373,138,2,1619,
3542909,10989,5571,1137,36,4236,9
3543006,18627,11307,565,77,6660,18
3543105,4608,2088,524,19,1972,5
3543204,4677,3526,170,13,968,
3543238,2025,1224,64,1,736,
3543253,7450,5264,123,29,2029,5
3543303,115559,65501,8336,1145,40382,194
3543402,698642,444608,56201,5498,191693,594
3543501,5599,3840,154,6,1597,2
3543600,4049,2626,180,2,1240,1
3543709,9098,5083,645,25,3342,3
3543808,9259,5218,355,116,3565,4
3543907,201418,136235,13263,787,50989,128
3544004,31328,17862,2043,37,11373,13
3544103,44170,18924,4734,175,20290,46
